"LoanOriginationDate","BorrowerRate","StatedMonthlyIncome","LoanOriginalAmount","MonthlyLoanPayment","LP_CustomerPayments","LP_InterestandFees"
"2006-08-30 00:00:00",0.175794444444444,4424.05092588889,6352.5,216.870555555556,6826.34555555556,1378.70666666667
"2006-08-31 00:00:00",0.207442857142857,5776.85,6538.54285714286,232.663714285714,6899.39885714286,1558.85657142857
"2006-09-01 00:00:00",0.206083333333333,4207.90555556667,6058.5,221.743333333333,4944.72333333333,1107.046
"2006-09-05 00:00:00",0.209323076923077,3161.74358969231,6019.23076923077,222.456923076923,5212.47,1151.47384615385
"2006-09-06 00:00:00",0.19854,4487.36111108889,4977.82222222222,180.315333333333,4450.13755555556,1086.64311111111
"2006-09-07 00:00:00",0.220664,4941.30333332,6376.04,231.096,5686.2504,1520.6976
"2006-09-08 00:00:00",0.1983,3717.4366666,4264.04,159.234,4405.5568,931.7412
"2006-09-11 00:00:00",0.23232,4017.33333333333,6196.8,231.06,5024.17933333333,1349.37733333333
"2006-09-12 00:00:00",0.197863636363636,4520.97916668182,4367.04545454545,154.916136363636,4084.07477272727,1017.06795454545
"2006-09-13 00:00:00",0.173783333333333,6465.10185194444,8723.77777777778,302.287222222222,9469.16277777778,1419.60722222222
"2006-09-14 00:00:00",0.1844,4557.18571422857,5984.37142857143,206.041142857143,6416.09028571429,1373.798
"2006-09-15 00:00:00",0.195185714285714,4021.29166664286,4735.64285714286,172.645357142857,4371.64464285714,1059.71178571429
"2006-09-18 00:00:00",0.183836666666667,5514.02499996667,5170.83333333333,184.39,4277.90366666667,921.860666666667
"2006-09-19 00:00:00",0.199463829787234,4076.3705673617,3709.27659574468,121.781063829787,3862.92319148936,866.81085106383
"2006-09-20 00:00:00",0.196126829268293,4704.46951221951,4676.41463414634,162.71487804878,4470.37512195122,914.576829268293
"2006-09-21 00:00:00",0.204853333333333,4295.24722216667,5103.66666666667,180.37,5570.11966666667,1390.77266666667
"2006-09-22 00:00:00",0.219181818181818,4545.98232324242,4205.84848484848,153.399090909091,3828.46424242424,1061.54636363636
"2006-09-25 00:00:00",0.196164,5702.71666672,5878.04,214.7012,5582.704,1082.1
"2006-09-26 00:00:00",0.176617647058824,4574.32352938235,5521.70588235294,198.111764705882,5337.72617647059,1170.85470588235
"2006-09-27 00:00:00",0.1876375,3714.87847216667,4402.08333333333,155.312916666667,4596.88,858.645833333333
"2006-09-28 00:00:00",0.198015789473684,4354.48903502632,4613.8947368421,166.448947368421,4105.36657894737,871.927631578947
"2006-09-29 00:00:00",0.196525714285714,4282.79523811429,5265.77142857143,189.911428571429,3993.45285714286,950.596571428571
"2006-10-02 00:00:00",0.180215,5100.12083335,5776.1,203.0075,6270.838,1334.935
"2006-10-03 00:00:00",0.195551612903226,4502.19489245161,5843.24193548387,212.342580645161,5300.96564516129,1121.95758064516
"2006-10-04 00:00:00",0.206071428571429,3925.72321432143,5113.17857142857,184.822142857143,5290.21678571429,1295.26571428571
"2006-10-05 00:00:00",0.209436842105263,3920.95175442105,3881.68421052632,141.252105263158,3338.36736842105,844.066315789474
"2006-10-06 00:00:00",0.191022222222222,6947.50462961111,10766.6666666667,380.866111111111,9432.89833333333,1996.90944444444
"2006-10-10 00:00:00",0.185670588235294,4162.08333332353,4178.55882352941,149.419117647059,4272.86352941176,891.904411764706
"2006-10-11 00:00:00",0.202564406779661,4558.63700566102,4560.47457627119,166.319661016949,4128.38016949153,864.003389830508
"2006-10-12 00:00:00",0.18089,6100.36666665,6277.6,221.1535,6660.193,1323.668
"2006-10-13 00:00:00",0.212334210526316,3461.86403507895,5457.26315789474,203.872105263158,4168.33263157895,1092.21894736842
"2006-10-16 00:00:00",0.206863636363636,4332.20833331818,5063.63636363636,185.301818181818,4916.00409090909,1078.23545454545
"2006-10-17 00:00:00",0.197046153846154,3526.9059828718,3361.61538461538,118.239487179487,3329.38666666667,733.904615384615
"2006-10-18 00:00:00",0.199895652173913,3560.52898547826,3809.95652173913,138.040869565217,3121.50304347826,821.59652173913
"2006-10-19 00:00:00",0.179961904761905,5537.30158728571,8368.38095238095,299.230952380952,7712.16952380952,1320.23047619048
"2006-10-20 00:00:00",0.201242857142857,4746.1324405,5256.25,189.626964285714,5035.55267857143,1163.18464285714
"2006-10-23 00:00:00",0.191082142857143,4208.11607139286,4739.32142857143,166.129285714286,4316.54107142857,1027.13714285714
